,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
198,7:30p,Atlanta Hawks,114,Toronto Raptors,130,Box Score,,"19,800",
199,8:00p,Denver Nuggets,96,Memphis Grizzlies,104,Box Score,,"14,365",
200,8:00p,Boston Celtics,109,Miami Heat,101,Box Score,,"19,704",
201,8:00p,Washington Wizards,131,Milwaukee Bucks,151,Box Score,,"17,681",
202,8:30p,Phoenix Suns,133,Dallas Mavericks,104,Box Score,,"20,216",
203,7:00p,Chicago Bulls,106,Indiana Pacers,115,Box Score,OT,"17,923",
204,7:30p,Detroit Pistons,115,Brooklyn Nets,125,Box Score,,"14,275",
205,7:30p,Memphis Grizzlies,127,New York Knicks,106,Box Score,,"18,768",
206,8:30p,Utah Jazz,120,San Antonio Spurs,127,Box Score,,"17,887",
207,10:00p,Houston Rockets,112,Portland Trail Blazers,125,Box Score,,"19,393",
208,10:00p,Oklahoma City Thunder,120,Sacramento Kings,100,Box Score,,"16,935",
209,7:00p,Toronto Raptors,115,Cleveland Cavaliers,109,Box Score,,"17,695",
210,7:00p,Charlotte Hornets,107,Washington Wizards,121,Box Score,,"15,013",
211,7:30p,Philadelphia 76ers,117,Atlanta Hawks,127,Box Score,,"15,227",
212,8:00p,Golden State Warriors,104,Boston Celtics,119,Box Score,,"19,156",
213,10:30p,Utah Jazz,100,Denver Nuggets,106,Box Score,,"19,520",
214,10:30p,Sacramento Kings,124,Los Angeles Clippers,103,Box Score,,"19,068",
215,7:00p,Toronto Raptors,105,Detroit Pistons,92,Box Score,,"17,356",
216,7:30p,Chicago Bulls,118,Brooklyn Nets,133,Box Score,,"17,732",
217,7:30p,Dallas Mavericks,121,Houston Rockets,128,Box Score,,"18,055",
218,8:00p,Memphis Grizzlies,111,New Orleans Pelicans,139,Box Score,,"18,362",
219,9:00p,Denver Nuggets,127,Milwaukee Bucks,115,Box Score,,"18,141",
220,9:00p,Oklahoma City Thunder,111,Phoenix Suns,107,Box Score,,"17,260",
221,10:30p,Portland Trail Blazers,127,Los Angeles Lakers,119,Box Score,,"18,997",
0,3:30p,Minnesota Timberwolves,106,Los Angeles Clippers,118,Box Score,,"19,068",
1,7:00p,New York Knicks,92,Indiana Pacers,85,Box Score,,"17,923",
2,7:00p,Miami Heat,102,Orlando Magic,89,Box Score,,"18,846",
3,8:00p,Golden State Warriors,131,Cleveland Cavaliers,112,Box Score,,"18,410",
4,8:00p,Brooklyn Nets,107,Washington Wizards,113,Box Score,,"18,196",
5,8:30p,Philadelphia 76ers,95,Boston Celtics,116,Box Score,,"19,156",
6,8:30p,Atlanta Hawks,100,Dallas Mavericks,123,Box Score,,"20,328",
