,Visitor/Neutral,PTS,Home/Neutral,PTS.1
543,Miami Heat,115.0,Oklahoma City Thunder,116.0
544,Los Angeles Clippers,124.0,Denver Nuggets,111.0
545,Washington Wizards,96.0,Boston Celtics,90.0
546,Sacramento Kings,136.0,Los Angeles Lakers,122.0
547,Dallas Mavericks,102.0,Phoenix Suns,128.0
548,Milwaukee Bucks,106.0,Memphis Grizzlies,119.0
549,San Antonio Spurs,112.0,Utah Jazz,118.0
550,New Orleans Pelicans,127.0,Orlando Magic,133.0
551,Portland Trail Blazers,134.0,Brooklyn Nets,133.0
552,Denver Nuggets,109.0,Toronto Raptors,117.0
553,Miami Heat,92.0,Indiana Pacers,109.0
554,Oklahoma City Thunder,103.0,Los Angeles Clippers,107.0
555,Philadelphia 76ers,134.0,Houston Rockets,96.0
556,Memphis Grizzlies,122.0,Portland Trail Blazers,126.0
557,0,0.0,0,0.0
558,Utah Jazz,125.0,Denver Nuggets,135.0
559,Brooklyn Nets,110.0,Toronto Raptors,134.0
560,Philadelphia 76ers,101.0,Boston Celtics,109.0
561,Dallas Mavericks,110.0,Los Angeles Clippers,118.0
562,Orlando Magic,122.0,Milwaukee Bucks,110.0
563,Miami Heat,113.0,Indiana Pacers,101.0
564,Oklahoma City Thunder,108.0,Houston Rockets,123.0
565,Portland Trail Blazers,100.0,Los Angeles Lakers,93.0
566,Brooklyn Nets,99.0,Toronto Raptors,104.0
567,Utah Jazz,124.0,Denver Nuggets,105.0
568,Philadelphia 76ers,101.0,Boston Celtics,128.0
569,Dallas Mavericks,127.0,Los Angeles Clippers,114.0
570,Miami Heat,109.0,Indiana Pacers,100.0
571,Oklahoma City Thunder,98.0,Houston Rockets,111.0
572,Orlando Magic,96.0,Milwaukee Bucks,111.0
573,Portland Trail Blazers,88.0,Los Angeles Lakers,111.0
574,Toronto Raptors,117.0,Brooklyn Nets,92.0
575,Denver Nuggets,87.0,Utah Jazz,124.0
576,Boston Celtics,102.0,Philadelphia 76ers,94.0
577,Los Angeles Clippers,130.0,Dallas Mavericks,122.0
578,Milwaukee Bucks,121.0,Orlando Magic,107.0
579,Indiana Pacers,115.0,Miami Heat,124.0
580,Houston Rockets,107.0,Oklahoma City Thunder,119.0
581,Los Angeles Lakers,116.0,Portland Trail Blazers,108.0
582,Boston Celtics,110.0,Philadelphia 76ers,106.0
583,Los Angeles Clippers,133.0,Dallas Mavericks,135.0
584,Toronto Raptors,150.0,Brooklyn Nets,122.0
585,Denver Nuggets,127.0,Utah Jazz,129.0
586,Milwaukee Bucks,121.0,Orlando Magic,106.0
587,Houston Rockets,114.0,Oklahoma City Thunder,117.0
588,Indiana Pacers,87.0,Miami Heat,99.0
589,Los Angeles Lakers,135.0,Portland Trail Blazers,115.0
