,Visitor/Neutral,PTS,Home/Neutral,PTS.1
590,Utah Jazz,107.0,Denver Nuggets,117.0
591,Dallas Mavericks,111.0,Los Angeles Clippers,154.0
592,Orlando Magic,104.0,Milwaukee Bucks,118.0
593,Oklahoma City Thunder,80.0,Houston Rockets,114.0
594,Portland Trail Blazers,122.0,Los Angeles Lakers,131.0
595,Boston Celtics,112.0,Toronto Raptors,94.0
596,Los Angeles Clippers,111.0,Dallas Mavericks,97.0
597,Denver Nuggets,119.0,Utah Jazz,107.0
598,Miami Heat,115.0,Milwaukee Bucks,104.0
599,Houston Rockets,100.0,Oklahoma City Thunder,104.0
600,Boston Celtics,102.0,Toronto Raptors,99.0
601,Utah Jazz,78.0,Denver Nuggets,80.0
602,Miami Heat,116.0,Milwaukee Bucks,114.0
603,Oklahoma City Thunder,102.0,Houston Rockets,104.0
604,Toronto Raptors,104.0,Boston Celtics,103.0
605,Denver Nuggets,97.0,Los Angeles Clippers,120.0
606,Milwaukee Bucks,100.0,Miami Heat,115.0
607,Houston Rockets,112.0,Los Angeles Lakers,97.0
608,Toronto Raptors,100.0,Boston Celtics,93.0
609,Denver Nuggets,110.0,Los Angeles Clippers,101.0
610,Milwaukee Bucks,118.0,Miami Heat,115.0
611,Houston Rockets,109.0,Los Angeles Lakers,117.0
612,Boston Celtics,111.0,Toronto Raptors,89.0
613,Los Angeles Clippers,113.0,Denver Nuggets,107.0
614,Miami Heat,103.0,Milwaukee Bucks,94.0
615,Los Angeles Lakers,112.0,Houston Rockets,102.0
616,Toronto Raptors,125.0,Boston Celtics,122.0
617,Los Angeles Clippers,96.0,Denver Nuggets,85.0
618,Los Angeles Lakers,110.0,Houston Rockets,100.0
619,Denver Nuggets,111.0,Los Angeles Clippers,105.0
620,Boston Celtics,92.0,Toronto Raptors,87.0
621,Houston Rockets,96.0,Los Angeles Lakers,119.0
622,Los Angeles Clippers,98.0,Denver Nuggets,111.0
623,Miami Heat,117.0,Boston Celtics,114.0
624,Denver Nuggets,104.0,Los Angeles Clippers,89.0
625,Miami Heat,106.0,Boston Celtics,101.0
626,Denver Nuggets,114.0,Los Angeles Lakers,126.0
627,Boston Celtics,117.0,Miami Heat,106.0
628,Denver Nuggets,103.0,Los Angeles Lakers,105.0
629,Los Angeles Lakers,106.0,Denver Nuggets,114.0
630,Boston Celtics,109.0,Miami Heat,112.0
631,Los Angeles Lakers,114.0,Denver Nuggets,108.0
632,Miami Heat,108.0,Boston Celtics,121.0
633,Denver Nuggets,107.0,Los Angeles Lakers,117.0
634,Boston Celtics,113.0,Miami Heat,125.0
635,Miami Heat,98.0,Los Angeles Lakers,116.0
636,New Orleans Pelicans,122.0,Toronto Raptors,130.0
637,Los Angeles Lakers,102.0,Los Angeles Clippers,112.0
638,Chicago Bulls,125.0,Charlotte Hornets,126.0
639,Detroit Pistons,119.0,Indiana Pacers,110.0
640,Cleveland Cavaliers,85.0,Orlando Magic,94.0
641,Minnesota Timberwolves,127.0,Brooklyn Nets,126.0
642,Memphis Grizzlies,101.0,Miami Heat,120.0
643,Boston Celtics,93.0,Philadelphia 76ers,107.0
644,Washington Wizards,100.0,Dallas Mavericks,108.0
645,New York Knicks,111.0,San Antonio Spurs,120.0
646,Oklahoma City Thunder,95.0,Utah Jazz,100.0
647,Denver Nuggets,108.0,Portland Trail Blazers,100.0
648,Sacramento Kings,95.0,Phoenix Suns,124.0
649,Atlanta Hawks,117.0,Detroit Pistons,100.0
650,Milwaukee Bucks,117.0,Houston Rockets,111.0
651,Los Angeles Clippers,141.0,Golden State Warriors,122.0
652,Toronto Raptors,106.0,Boston Celtics,112.0
653,Minnesota Timberwolves,121.0,Charlotte Hornets,99.0
654,New York Knicks,109.0,Brooklyn Nets,113.0
655,Chicago Bulls,110.0,Memphis Grizzlies,102.0
656,Dallas Mavericks,123.0,New Orleans Pelicans,116.0
657,Washington Wizards,97.0,Oklahoma City Thunder,85.0
658,Phoenix Suns,107.0,Denver Nuggets,108.0
659,Portland Trail Blazers,122.0,Sacramento Kings,112.0
660,Utah Jazz,86.0,Los Angeles Lakers,95.0
661,Miami Heat,131.0,Milwaukee Bucks,126.0
662,Philadelphia 76ers,117.0,Detroit Pistons,111.0
663,Orlando Magic,99.0,Atlanta Hawks,103.0
664,Boston Celtics,118.0,New York Knicks,95.0
665,Toronto Raptors,108.0,Chicago Bulls,84.0
666,Indiana Pacers,99.0,Cleveland Cavaliers,110.0
667,New Orleans Pelicans,123.0,Houston Rockets,126.0
668,Washington Wizards,122.0,San Antonio Spurs,124.0
669,Sacramento Kings,81.0,Utah Jazz,113.0
670,Los Angeles Clippers,122.0,Phoenix Suns,130.0
671,Golden State Warriors,92.0,Oklahoma City Thunder,120.0
672,Brooklyn Nets,133.0,Memphis Grizzlies,134.0
673,Portland Trail Blazers,121.0,Dallas Mavericks,119.0
674,Miami Heat,109.0,Minnesota Timberwolves,116.0
675,Charlotte Hornets,101.0,Los Angeles Lakers,120.0
676,Indiana Pacers,94.0,Detroit Pistons,96.0
677,Chicago Bulls,98.0,New York Knicks,105.0
678,Philadelphia 76ers,105.0,Atlanta Hawks,103.0
679,Orlando Magic,95.0,Toronto Raptors,104.0
680,Cleveland Cavaliers,112.0,Milwaukee Bucks,129.0
681,Golden State Warriors,134.0,New Orleans Pelicans,123.0
682,Oklahoma City Thunder,112.0,Houston Rockets,116.0
683,Portland Trail Blazers,110.0,San Antonio Spurs,113.0
684,Utah Jazz,96.0,Phoenix Suns,95.0
685,Denver Nuggets,101.0,Sacramento Kings,94.0
686,Charlotte Hornets,96.0,Los Angeles Clippers,111.0
687,Atlanta Hawks,97.0,Miami Heat,112.0
688,Dallas Mavericks,109.0,Denver Nuggets,106.0
689,Memphis Grizzlies,91.0,Los Angeles Lakers,120.0
690,Minnesota Timberwolves,95.0,Philadelphia 76ers,117.0
691,New York Knicks,83.0,Orlando Magic,95.0
692,Chicago Bulls,111.0,Cleveland Cavaliers,117.0
693,Indiana Pacers,118.0,Brooklyn Nets,108.0
694,Milwaukee Bucks,105.0,Boston Celtics,116.0
695,Detroit Pistons,113.0,Toronto Raptors,125.0
696,Portland Trail Blazers,102.0,Oklahoma City Thunder,99.0
697,Houston Rockets,159.0,Washington Wizards,158.0
698,Charlotte Hornets,118.0,Sacramento Kings,111.0
699,Los Angeles Clippers,96.0,Utah Jazz,110.0
700,Phoenix Suns,121.0,Golden State Warriors,110.0
701,Miami Heat,106.0,Atlanta Hawks,97.0
702,Denver Nuggets,107.0,New Orleans Pelicans,122.0
703,San Antonio Spurs,97.0,Los Angeles Clippers,103.0
704,0,0.0,0,0.0
705,Miami Heat,114.0,Los Angeles Lakers,124.0
706,Los Angeles Lakers,104.0,Miami Heat,115.0
707,Los Angeles Lakers,102.0,Miami Heat,96.0
708,Miami Heat,111.0,Los Angeles Lakers,108.0
709,Los Angeles Lakers,106.0,Miami Heat,93.0
710,Houston Rockets,116.0,Brooklyn Nets,123.0
711,Cleveland Cavaliers,95.0,Indiana Pacers,102.0
712,Milwaukee Bucks,123.0,Orlando Magic,91.0
713,New York Knicks,102.0,Boston Celtics,104.0
714,Detroit Pistons,106.0,Chicago Bulls,112.0
715,Los Angeles Lakers,119.0,Dallas Mavericks,110.0
716,Utah Jazz,101.0,Sacramento Kings,102.0
717,San Antonio Spurs,127.0,Golden State Warriors,110.0
718,New Orleans Pelicans,104.0,Oklahoma City Thunder,115.0
719,Brooklyn Nets,109.0,Detroit Pistons,113.0
720,Denver Nuggets,91.0,Orlando Magic,87.0
721,Phoenix Suns,114.0,Memphis Grizzlies,105.0
722,Toronto Raptors,105.0,Milwaukee Bucks,115.0
723,Minnesota Timberwolves,131.0,Washington Wizards,109.0
724,Charlotte Hornets,93.0,Golden State Warriors,87.0
725,Philadelphia 76ers,129.0,Portland Trail Blazers,128.0
726,Chicago Bulls,95.0,Indiana Pacers,108.0
727,Houston Rockets,100.0,Miami Heat,129.0
728,Sacramento Kings,113.0,New York Knicks,92.0
729,Los Angeles Lakers,103.0,San Antonio Spurs,96.0
730,Dallas Mavericks,131.0,Cleveland Cavaliers,111.0
731,Utah Jazz,94.0,Los Angeles Clippers,105.0
732,Detroit Pistons,99.0,Washington Wizards,115.0
733,New Orleans Pelicans,125.0,Brooklyn Nets,135.0
734,Houston Rockets,107.0,Memphis Grizzlies,100.0
735,Milwaukee Bucks,134.0,Minnesota Timberwolves,106.0
736,Philadelphia 76ers,109.0,Phoenix Suns,114.0
737,Portland Trail Blazers,118.0,Golden State Warriors,127.0
738,Indiana Pacers,120.0,Charlotte Hornets,122.0
739,Boston Celtics,119.0,Cleveland Cavaliers,113.0
740,San Antonio Spurs,100.0,Atlanta Hawks,108.0
741,Los Angeles Lakers,118.0,Chicago Bulls,112.0
742,Orlando Magic,94.0,Oklahoma City Thunder,102.0
743,Miami Heat,89.0,Denver Nuggets,109.0
744,New York Knicks,102.0,Detroit Pistons,122.0
745,Washington Wizards,106.0,Indiana Pacers,121.0
746,Chicago Bulls,113.0,Atlanta Hawks,93.0
747,Golden State Warriors,112.0,Houston Rockets,129.0
748,Sacramento Kings,120.0,Toronto Raptors,124.0
749,Minnesota Timberwolves,121.0,Memphis Grizzlies,137.0
750,Orlando Magic,106.0,Dallas Mavericks,107.0
751,Philadelphia 76ers,104.0,Utah Jazz,106.0
752,Milwaukee Bucks,129.0,Los Angeles Clippers,124.0
753,Boston Celtics,108.0,Charlotte Hornets,87.0
754,Oklahoma City Thunder,112.0,San Antonio Spurs,121.0
755,Miami Heat,124.0,Phoenix Suns,108.0
756,Portland Trail Blazers,101.0,Los Angeles Clippers,107.0
757,Detroit Pistons,106.0,Indiana Pacers,112.0
758,Memphis Grizzlies,86.0,Orlando Magic,118.0
759,Cleveland Cavaliers,113.0,Washington Wizards,100.0
760,Sacramento Kings,121.0,Atlanta Hawks,109.0
761,Golden State Warriors,119.0,Minnesota Timberwolves,125.0
762,Toronto Raptors,122.0,New Orleans Pelicans,104.0
763,New York Knicks,106.0,Dallas Mavericks,102.0
764,Philadelphia 76ers,97.0,Denver Nuggets,100.0
765,Milwaukee Bucks,100.0,Utah Jazz,103.0
766,Brooklyn Nets,119.0,Portland Trail Blazers,115.0
767,Miami Heat,80.0,Los Angeles Lakers,95.0
768,Boston Celtics,135.0,San Antonio Spurs,115.0
769,New Orleans Pelicans,115.0,Charlotte Hornets,110.0
770,Houston Rockets,117.0,Chicago Bulls,94.0
771,Dallas Mavericks,138.0,Memphis Grizzlies,122.0
772,Golden State Warriors,108.0,Oklahoma City Thunder,114.0
773,Denver Nuggets,100.0,Minnesota Timberwolves,98.0
774,Indiana Pacers,109.0,Orlando Magic,102.0
775,Charlotte Hornets,106.0,Philadelphia 76ers,114.0
776,Milwaukee Bucks,121.0,Oklahoma City Thunder,119.0
777,Cleveland Cavaliers,108.0,New York Knicks,87.0
778,Brooklyn Nets,112.0,Phoenix Suns,138.0
779,Atlanta Hawks,113.0,Portland Trail Blazers,124.0
780,Toronto Raptors,113.0,Los Angeles Lakers,104.0
781,Minnesota Timberwolves,120.0,Detroit Pistons,114.0
782,Dallas Mavericks,106.0,Boston Celtics,116.0
783,Memphis Grizzlies,113.0,San Antonio Spurs,109.0
784,Houston Rockets,122.0,New Orleans Pelicans,116.0
785,Utah Jazz,122.0,Golden State Warriors,108.0
786,Toronto Raptors,88.0,Los Angeles Clippers,98.0
787,Oklahoma City Thunder,85.0,Indiana Pacers,111.0
788,Cleveland Cavaliers,97.0,Philadelphia 76ers,98.0
789,Detroit Pistons,108.0,Miami Heat,117.0
790,New York Knicks,102.0,Chicago Bulls,120.0
791,Atlanta Hawks,125.0,Denver Nuggets,121.0
792,Los Angeles Lakers,123.0,Phoenix Suns,115.0
793,Brooklyn Nets,114.0,Utah Jazz,119.0
794,Portland Trail Blazers,99.0,Sacramento Kings,107.0
795,Memphis Grizzlies,119.0,Charlotte Hornets,117.0
796,Philadelphia 76ers,97.0,Orlando Magic,112.0
797,Washington Wizards,133.0,Boston Celtics,140.0
798,Los Angeles Clippers,93.0,Houston Rockets,102.0
799,San Antonio Spurs,114.0,Minnesota Timberwolves,129.0
800,Golden State Warriors,94.0,Los Angeles Lakers,120.0
801,Toronto Raptors,114.0,Portland Trail Blazers,106.0
802,Miami Heat,108.0,Cleveland Cavaliers,97.0
803,Chicago Bulls,115.0,Milwaukee Bucks,124.0
804,Los Angeles Clippers,127.0,New Orleans Pelicans,132.0
805,Dallas Mavericks,103.0,New York Knicks,106.0
806,Atlanta Hawks,112.0,Phoenix Suns,128.0
807,Brooklyn Nets,93.0,Denver Nuggets,101.0
808,Detroit Pistons,106.0,Charlotte Hornets,109.0
809,San Antonio Spurs,109.0,Orlando Magic,111.0
810,Indiana Pacers,102.0,Houston Rockets,111.0
811,Utah Jazz,106.0,Memphis Grizzlies,107.0
812,Washington Wizards,137.0,Minnesota Timberwolves,116.0
813,Philadelphia 76ers,119.0,Oklahoma City Thunder,127.0
814,Boston Celtics,105.0,Golden State Warriors,100.0
815,Sacramento Kings,97.0,Los Angeles Lakers,99.0
816,Brooklyn Nets,117.0,Chicago Bulls,111.0
817,Milwaukee Bucks,102.0,Indiana Pacers,83.0
818,Charlotte Hornets,103.0,New York Knicks,102.0
819,New Orleans Pelicans,94.0,Miami Heat,109.0
820,Houston Rockets,125.0,Minnesota Timberwolves,105.0
821,Toronto Raptors,102.0,Dallas Mavericks,110.0
822,Portland Trail Blazers,121.0,San Antonio Spurs,116.0
823,Atlanta Hawks,101.0,Los Angeles Clippers,150.0
824,Philadelphia 76ers,114.0,Cleveland Cavaliers,95.0
825,Boston Celtics,99.0,Sacramento Kings,100.0
826,Denver Nuggets,131.0,Memphis Grizzlies,114.0
827,Washington Wizards,121.0,Orlando Magic,125.0
828,Golden State Warriors,100.0,New Orleans Pelicans,108.0
829,Atlanta Hawks,101.0,Los Angeles Lakers,122.0
830,Cleveland Cavaliers,105.0,New York Knicks,123.0
831,Indiana Pacers,115.0,Brooklyn Nets,86.0
832,Charlotte Hornets,96.0,Toronto Raptors,132.0
833,Milwaukee Bucks,115.0,Chicago Bulls,101.0
834,Portland Trail Blazers,108.0,Houston Rockets,132.0
835,San Antonio Spurs,110.0,Dallas Mavericks,117.0
836,Boston Celtics,99.0,Phoenix Suns,85.0
837,Minnesota Timberwolves,112.0,Utah Jazz,102.0
838,Oklahoma City Thunder,88.0,Los Angeles Clippers,90.0
839,Golden State Warriors,114.0,Memphis Grizzlies,95.0
840,Portland Trail Blazers,104.0,New Orleans Pelicans,115.0
841,Phoenix Suns,116.0,Sacramento Kings,120.0
842,Oklahoma City Thunder,107.0,Los Angeles Lakers,112.0
843,New York Knicks,104.0,Philadelphia 76ers,109.0
844,San Antonio Spurs,132.0,Washington Wizards,138.0
845,Milwaukee Bucks,135.0,Atlanta Hawks,127.0
846,Charlotte Hornets,91.0,Brooklyn Nets,101.0
847,Golden State Warriors,94.0,Dallas Mavericks,142.0
848,Cleveland Cavaliers,100.0,Miami Heat,124.0
849,Orlando Magic,97.0,Toronto Raptors,113.0
850,Detroit Pistons,89.0,Chicago Bulls,109.0
851,Utah Jazz,103.0,Minnesota Timberwolves,95.0
852,Houston Rockets,95.0,Denver Nuggets,105.0
853,Boston Celtics,104.0,Los Angeles Clippers,107.0
854,Portland Trail Blazers,129.0,Milwaukee Bucks,137.0
855,New Orleans Pelicans,124.0,Phoenix Suns,121.0
856,Atlanta Hawks,103.0,Detroit Pistons,128.0
857,Charlotte Hornets,118.0,Washington Wizards,125.0
858,Sacramento Kings,97.0,Brooklyn Nets,116.0
859,Miami Heat,116.0,Chicago Bulls,108.0
860,Los Angeles Lakers,130.0,Oklahoma City Thunder,127.0
861,San Antonio Spurs,104.0,Philadelphia 76ers,115.0
862,Cleveland Cavaliers,101.0,Dallas Mavericks,143.0
863,Boston Celtics,92.0,Denver Nuggets,96.0
864,Golden State Warriors,109.0,Utah Jazz,113.0
865,Houston Rockets,119.0,Los Angeles Clippers,122.0
866,Phoenix Suns,100.0,Minnesota Timberwolves,98.0
867,Chicago Bulls,116.0,Charlotte Hornets,115.0
868,Orlando Magic,106.0,Indiana Pacers,111.0
869,Toronto Raptors,119.0,Atlanta Hawks,116.0
870,San Antonio Spurs,111.0,New York Knicks,104.0
871,Miami Heat,86.0,Philadelphia 76ers,113.0
872,Portland Trail Blazers,104.0,Cleveland Cavaliers,110.0
873,Los Angeles Lakers,109.0,Memphis Grizzlies,108.0
874,Detroit Pistons,90.0,Milwaukee Bucks,104.0
875,New Orleans Pelicans,120.0,Utah Jazz,128.0
876,Dallas Mavericks,137.0,Houston Rockets,123.0
877,Brooklyn Nets,103.0,New York Knicks,101.0
878,Sacramento Kings,113.0,Washington Wizards,106.0
879,Phoenix Suns,104.0,Denver Nuggets,116.0
880,New Orleans Pelicans,109.0,Los Angeles Clippers,134.0
881,Brooklyn Nets,108.0,Cleveland Cavaliers,106.0
882,Orlando Magic,88.0,Detroit Pistons,103.0
883,Memphis Grizzlies,114.0,Indiana Pacers,126.0
884,Minnesota Timberwolves,125.0,Atlanta Hawks,113.0
885,Sacramento Kings,102.0,Boston Celtics,103.0
886,Charlotte Hornets,100.0,Miami Heat,117.0
887,Philadelphia 76ers,96.0,Toronto Raptors,101.0
888,Portland Trail Blazers,117.0,Chicago Bulls,94.0
889,Utah Jazz,118.0,Milwaukee Bucks,122.0
890,Los Angeles Lakers,114.0,San Antonio Spurs,104.0
891,Oklahoma City Thunder,100.0,Golden State Warriors,97.0
892,Los Angeles Clippers,114.0,Dallas Mavericks,99.0
893,Washington Wizards,104.0,Denver Nuggets,117.0
894,Brooklyn Nets,110.0,Boston Celtics,121.0
895,Detroit Pistons,101.0,Charlotte Hornets,102.0
896,Orlando Magic,116.0,Cleveland Cavaliers,104.0
897,Utah Jazz,102.0,Indiana Pacers,121.0
898,Sacramento Kings,91.0,Philadelphia 76ers,97.0
899,New York Knicks,98.0,Toronto Raptors,126.0
900,Miami Heat,108.0,Houston Rockets,117.0
901,Los Angeles Clippers,121.0,Memphis Grizzlies,119.0
902,Atlanta Hawks,102.0,Milwaukee Bucks,111.0
903,Minnesota Timberwolves,113.0,San Antonio Spurs,101.0
904,Washington Wizards,140.0,Phoenix Suns,132.0
905,Los Angeles Lakers,114.0,New Orleans Pelicans,110.0
906,Oklahoma City Thunder,119.0,Portland Trail Blazers,136.0
907,Chicago Bulls,90.0,Golden State Warriors,104.0
908,Boston Celtics,107.0,Brooklyn Nets,112.0
909,Charlotte Hornets,110.0,Detroit Pistons,107.0
910,Toronto Raptors,90.0,Orlando Magic,83.0
911,Milwaukee Bucks,119.0,Cleveland Cavaliers,110.0
912,Philadelphia 76ers,101.0,New York Knicks,95.0
913,Atlanta Hawks,104.0,Indiana Pacers,105.0
914,Utah Jazz,103.0,Memphis Grizzlies,94.0
915,Golden State Warriors,105.0,Miami Heat,122.0
916,New Orleans Pelicans,104.0,Oklahoma City Thunder,109.0
917,Los Angeles Clippers,97.0,San Antonio Spurs,107.0
918,Dallas Mavericks,120.0,Phoenix Suns,113.0
919,Chicago Bulls,103.0,Portland Trail Blazers,107.0
920,Washington Wizards,103.0,Los Angeles Lakers,125.0
921,Denver Nuggets,97.0,Sacramento Kings,100.0
922,Indiana Pacers,116.0,Philadelphia 76ers,119.0
923,Atlanta Hawks,111.0,Houston Rockets,158.0
924,Charlotte Hornets,96.0,Milwaukee Bucks,137.0
925,Miami Heat,109.0,Brooklyn Nets,106.0
926,Memphis Grizzlies,115.0,Minnesota Timberwolves,107.0
927,Boston Celtics,113.0,New York Knicks,104.0
928,Dallas Mavericks,114.0,Los Angeles Lakers,100.0
929,San Antonio Spurs,98.0,Detroit Pistons,132.0
930,Oklahoma City Thunder,107.0,New Orleans Pelicans,104.0
931,Golden State Warriors,96.0,Orlando Magic,100.0
932,Utah Jazz,110.0,Toronto Raptors,130.0
933,Washington Wizards,125.0,Los Angeles Clippers,150.0
934,Phoenix Suns,109.0,Charlotte Hornets,104.0
935,Utah Jazz,94.0,Philadelphia 76ers,103.0
936,Golden State Warriors,79.0,Atlanta Hawks,104.0
937,Indiana Pacers,117.0,Memphis Grizzlies,104.0
938,New York Knicks,88.0,Milwaukee Bucks,132.0
939,Chicago Bulls,113.0,Sacramento Kings,106.0
940,Detroit Pistons,127.0,Cleveland Cavaliers,94.0
941,Orlando Magic,127.0,Washington Wizards,120.0
942,Dallas Mavericks,118.0,New Orleans Pelicans,97.0
943,Miami Heat,121.0,Toronto Raptors,110.0
944,Houston Rockets,133.0,San Antonio Spurs,135.0
945,Los Angeles Lakers,105.0,Denver Nuggets,96.0
946,Portland Trail Blazers,97.0,Los Angeles Clippers,117.0
947,Golden State Warriors,91.0,Charlotte Hornets,106.0
948,Milwaukee Bucks,127.0,Detroit Pistons,103.0
949,Phoenix Suns,114.0,Orlando Magic,128.0
950,Brooklyn Nets,130.0,Atlanta Hawks,118.0
951,Miami Heat,93.0,Boston Celtics,112.0
952,Memphis Grizzlies,99.0,Chicago Bulls,106.0
953,Indiana Pacers,107.0,Oklahoma City Thunder,100.0
954,Minnesota Timberwolves,114.0,Dallas Mavericks,121.0
955,Los Angeles Lakers,121.0,Utah Jazz,96.0
956,Sacramento Kings,116.0,Portland Trail Blazers,127.0
957,Philadelphia 76ers,113.0,Washington Wizards,119.0
958,Denver Nuggets,129.0,New York Knicks,92.0
959,Houston Rockets,119.0,Toronto Raptors,109.0
960,Phoenix Suns,139.0,New Orleans Pelicans,132.0
961,Brooklyn Nets,111.0,Charlotte Hornets,104.0
962,Orlando Magic,93.0,Cleveland Cavaliers,87.0
963,Indiana Pacers,101.0,Detroit Pistons,108.0
964,Denver Nuggets,95.0,Boston Celtics,108.0
965,Golden State Warriors,100.0,Chicago Bulls,98.0
966,Washington Wizards,103.0,Miami Heat,112.0
967,Minnesota Timberwolves,127.0,Oklahoma City Thunder,139.0
968,Los Angeles Clippers,91.0,Milwaukee Bucks,119.0
969,Sacramento Kings,104.0,San Antonio Spurs,105.0
970,Los Angeles Lakers,136.0,Portland Trail Blazers,113.0
971,New Orleans Pelicans,84.0,Dallas Mavericks,130.0
972,Indiana Pacers,104.0,New York Knicks,103.0
973,Cleveland Cavaliers,94.0,Philadelphia 76ers,141.0
974,Phoenix Suns,109.0,Houston Rockets,115.0
975,Memphis Grizzlies,112.0,Utah Jazz,126.0
976,Denver Nuggets,102.0,Brooklyn Nets,105.0
977,Atlanta Hawks,122.0,Charlotte Hornets,107.0
978,Chicago Bulls,105.0,Miami Heat,110.0
979,Toronto Raptors,104.0,Philadelphia 76ers,110.0
980,Los Angeles Clippers,135.0,Washington Wizards,119.0
981,Sacramento Kings,110.0,Dallas Mavericks,106.0
982,Oklahoma City Thunder,108.0,Portland Trail Blazers,96.0
983,Minnesota Timberwolves,125.0,Los Angeles Lakers,142.0
984,Los Angeles Clippers,110.0,Indiana Pacers,99.0
985,Cleveland Cavaliers,88.0,Boston Celtics,110.0
986,Toronto Raptors,93.0,Chicago Bulls,92.0
987,Sacramento Kings,119.0,Houston Rockets,118.0
988,Orlando Magic,101.0,Milwaukee Bucks,110.0
989,Detroit Pistons,105.0,New Orleans Pelicans,103.0
990,Minnesota Timberwolves,109.0,Phoenix Suns,125.0
991,Oklahoma City Thunder,104.0,Utah Jazz,90.0
992,Memphis Grizzlies,110.0,Golden State Warriors,102.0
993,Washington Wizards,107.0,Charlotte Hornets,114.0
994,Atlanta Hawks,121.0,Miami Heat,135.0
995,Denver Nuggets,92.0,Philadelphia 76ers,97.0
996,New York Knicks,87.0,Portland Trail Blazers,115.0
997,Houston Rockets,116.0,Cleveland Cavaliers,110.0
998,Boston Celtics,117.0,Indiana Pacers,122.0
999,Los Angeles Lakers,96.0,Orlando Magic,87.0
1000,Los Angeles Clippers,112.0,Toronto Raptors,92.0
1001,Charlotte Hornets,113.0,Brooklyn Nets,108.0
1002,Atlanta Hawks,102.0,Chicago Bulls,136.0
1003,Utah Jazz,127.0,Minnesota Timberwolves,116.0
1004,Memphis Grizzlies,115.0,Phoenix Suns,108.0
1005,New Orleans Pelicans,112.0,Milwaukee Bucks,127.0
1006,Oklahoma City Thunder,93.0,Sacramento Kings,94.0
1007,New York Knicks,124.0,Golden State Warriors,122.0
1008,Philadelphia 76ers,115.0,Boston Celtics,109.0
1009,Cleveland Cavaliers,117.0,San Antonio Spurs,109.0
1010,Dallas Mavericks,122.0,Detroit Pistons,111.0
1011,Portland Trail Blazers,99.0,Denver Nuggets,114.0
1012,Los Angeles Lakers,113.0,Miami Heat,110.0
1013,Houston Rockets,130.0,Orlando Magic,107.0
1014,New Orleans Pelicans,109.0,Philadelphia 76ers,116.0
1015,Indiana Pacers,110.0,Atlanta Hawks,100.0
1016,Charlotte Hornets,83.0,Chicago Bulls,73.0
1017,Milwaukee Bucks,127.0,Memphis Grizzlies,114.0
1018,Golden State Warriors,106.0,Utah Jazz,114.0
1019,Los Angeles Clippers,124.0,Minnesota Timberwolves,117.0
1020,New York Knicks,103.0,Sacramento Kings,101.0
1021,San Antonio Spurs,121.0,Phoenix Suns,119.0
1022,Brooklyn Nets,102.0,Toronto Raptors,110.0
1023,Los Angeles Clippers,106.0,Chicago Bulls,109.0
1024,Washington Wizards,111.0,Memphis Grizzlies,128.0
1025,Miami Heat,122.0,Dallas Mavericks,118.0
1026,Cleveland Cavaliers,108.0,Milwaukee Bucks,125.0
1027,Oklahoma City Thunder,102.0,Denver Nuggets,110.0
1028,Detroit Pistons,115.0,Houston Rockets,107.0
1029,Orlando Magic,130.0,New Orleans Pelicans,119.0
1030,Charlotte Hornets,85.0,Indiana Pacers,107.0
1031,Los Angeles Lakers,101.0,Atlanta Hawks,96.0
1032,Philadelphia 76ers,89.0,Brooklyn Nets,109.0
1033,New York Knicks,105.0,Denver Nuggets,111.0
1034,Sacramento Kings,100.0,Golden State Warriors,79.0
1035,Washington Wizards,133.0,Detroit Pistons,119.0
1036,Cleveland Cavaliers,113.0,Toronto Raptors,133.0
1037,San Antonio Spurs,107.0,Houston Rockets,109.0
1038,Miami Heat,111.0,Memphis Grizzlies,118.0
1039,Dallas Mavericks,120.0,Milwaukee Bucks,116.0
1040,Chicago Bulls,106.0,Oklahoma City Thunder,109.0
1041,Portland Trail Blazers,111.0,Phoenix Suns,110.0
1042,Sacramento Kings,102.0,Charlotte Hornets,110.0
1043,Los Angeles Lakers,102.0,Indiana Pacers,105.0
1044,Atlanta Hawks,120.0,New York Knicks,143.0
1045,Brooklyn Nets,108.0,New Orleans Pelicans,101.0
1046,Orlando Magic,102.0,Utah Jazz,109.0
1047,Phoenix Suns,99.0,Los Angeles Clippers,120.0
1048,Charlotte Hornets,98.0,Cleveland Cavaliers,100.0
1049,Toronto Raptors,112.0,Detroit Pistons,99.0
1050,Miami Heat,108.0,Philadelphia 76ers,104.0
1051,Chicago Bulls,110.0,Washington Wizards,109.0
1052,New Orleans Pelicans,107.0,Minnesota Timberwolves,99.0
1053,Memphis Grizzlies,122.0,Oklahoma City Thunder,126.0
1054,Orlando Magic,104.0,Denver Nuggets,113.0
1055,Boston Celtics,109.0,Dallas Mavericks,103.0
1056,Golden State Warriors,112.0,Portland Trail Blazers,122.0
1057,Utah Jazz,111.0,Atlanta Hawks,106.0
1058,Los Angeles Lakers,104.0,Milwaukee Bucks,111.0
1059,Brooklyn Nets,105.0,San Antonio Spurs,118.0
1060,Houston Rockets,122.0,Los Angeles Clippers,117.0
1061,Memphis Grizzlies,107.0,Cleveland Cavaliers,114.0
1062,Sacramento Kings,105.0,Indiana Pacers,119.0
1063,Detroit Pistons,93.0,Boston Celtics,114.0
1064,Washington Wizards,118.0,Toronto Raptors,122.0
1065,New York Knicks,114.0,Miami Heat,129.0
1066,Phoenix Suns,108.0,Oklahoma City Thunder,126.0
